Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,4512644.92,119000,Petrol,Dealer,Automatic,First Owner
Hyundai i10 Magna 1.1L,2014,229999,662751.15,60000,Petrol,Individual,Manual,Fourth & Above Owner
BMW 3 Series 320d Sport Line,2013,1550000,4581148.41,75800,Diesel,Dealer,Automatic,Second Owner
Audi Q7 35 TDI Quattro Premium,2009,1250000,5537802.24,78000,Diesel,Dealer,Automatic,Third Owner
Hyundai Elantra CRDi S,2012,625000,2738345.43,40000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,2014,1050000,3445123.73,50000,Diesel,Individual,Manual,First Owner
Honda City i DTEC V,2014,560000,1419119.24,74000,Diesel,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV with ABS,2014,290000,883222.86,64000,Petrol,Individual,Manual,Second Owner
Maruti Wagon R VXI BS IV,2012,275000,1405161.28,60000,Petrol,Individual,Manual,Second Owner
Mahindra Scorpio LX,2009,411000,2996804.79,120000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,2009,150000,659627.29,79000,Petrol,Individual,Manual,Third Owner
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,962415.21,15000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2006,100000,583427.96,80000,Petrol,Individual,Manual,First Owner
Maruti Swift Dzire VDI Optional,2017,725000,1624804.53,18500,Diesel,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,2018,401000,824229.6,10200,Petrol,Dealer,Manual,First Owner
Hyundai i20 Sportz 1.4 CRDi,2018,750000,1793297.99,29000,Diesel,Dealer,Manual,First Owner
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,695058.0,28000,Petrol,Dealer,Manual,First Owner
Maruti Swift ZDi BSIV,2016,665000,1787398.23,46000,Diesel,Dealer,Manual,First Owner
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,1429059.17,70000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2012,160000,596301.2,60000,Petrol,Individual,Manual,Second Owner
Mahindra Jeep CL 500 MDI,1996,250000,9768223.14,35000,Diesel,Individual,Manual,Second Owner
Honda City i DTEC VX,2014,675000,2320037.7,90000,Diesel,Dealer,Manual,First Owner
Maruti Wagon R VXI BS IV,2013,300000,844916.17,80000,Petrol,Dealer,Manual,First Owner
Tata Indica DLS,2005,70000,894583.09,80000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2014,240000,980839.02,73300,Petrol,Dealer,Manual,Second Owner
Toyota Etios GD,2014,525000,1430983.73,92000,Diesel,Dealer,Manual,First Owner
Maruti Alto LXi,2009,151000,918016.48,66764,Petrol,Dealer,Manual,Second Owner
Maruti Alto LXi,2009,140000,702862.04,100000,Petrol,Individual,Manual,First Owner
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,280000,1458814.4,350000,Diesel,Individual,Manual,Second Owner
Toyota Corolla Altis Diesel D4DG,2011,350000,1237775.28,230000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S6 Plus,2017,570000,1359074.74,60000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2018,300000,587356.28,31000,Petrol,Individual,Manual,First Owner
Tata Indigo Classic Dicor,2007,100000,450855.9,39000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 V Diesel 8-seater,2009,500000,3318469.09,120000,Diesel,Individual,Manual,Third Owner
Tata Indica Vista Quadrajet LS,2014,125000,361563.42,166000,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Swift 1.3 VXi,2006,130000,1048977.95,110000,Petrol,Individual,Manual,Third Owner
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,925000,2362870.54,35000,Diesel,Individual,Manual,First Owner
Maruti Ciaz 1.3 Delta,2018,750000,1505000.1,60000,Diesel,Individual,Manual,First Owner
Honda Civic 1.8 V AT,2007,200000,1093081.07,54000,Petrol,Individual,Automatic,Second Owner
Hyundai i10 Sportz 1.2,2010,248000,1288910.24,63000,Petrol,Individual,Manual,Second Owner
Skoda Rapid 1.5 TDI Elegance,2014,450000,1229705.94,120000,Diesel,Individual,Manual,Second Owner
Hyundai Getz GLS,2005,80000,641766.03,120000,Petrol,Individual,Manual,Third Owner
Nissan Terrano XL,2014,650000,2213791.17,76000,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,2015,450000,1399437.89,80000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Diesel Era,2019,650000,1118892.23,25000,Diesel,Individual,Manual,First Owner
Honda Amaze S i-VTEC,2016,495000,1100287.98,11958,Petrol,Dealer,Manual,First Owner
Honda Brio S MT,2015,371000,1078131.12,20000,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 SX Option,2017,1025000,2494460.24,9000,Petrol,Dealer,Manual,First Owner
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,8150000,16195269.61,6500,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500 W8 2WD,2015,750000,2548872.33,70000,Diesel,Individual,Manual,First Owner
Renault Duster 85PS Diesel RxL Optional,2013,600000,2646742.25,120000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XO,2007,80000,679470.2,58000,Petrol,Dealer,Manual,Second Owner
Mahindra Bolero 2011-2019 SLE,2013,325000,1370086.77,62200,Diesel,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,2014,1470000,4697839.57,34000,Diesel,Dealer,Automatic,Second Owner
Fiat Avventura MULTIJET Emotion,2015,350000,878931.62,53000,Diesel,Individual,Manual,Second Owner
Audi A8 4.2 TDI,2013,2800000,8500640.98,49000,Diesel,Dealer,Automatic,First Owner
Datsun RediGO 1.0 S,2017,210000,501889.27,15000,Petrol,Dealer,Manual,Second Owner
Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,1549850.11,50000,Petrol,Individual,Manual,First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1150000,3129530.12,53000,Diesel,Dealer,Automatic,First Owner
Honda Civic 1.8 V AT,2009,210000,900546.39,63500,Petrol,Dealer,Automatic,First Owner
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,4500000,8425581.66,9800,Petrol,Dealer,Automatic,First Owner
BMW X1 sDrive 20d xLine,2017,2750000,6358733.29,13000,Diesel,Individual,Automatic,First Owner
Volvo V40 D3 R Design,2018,1975000,3608482.25,21000,Diesel,Dealer,Automatic,First Owner
Maruti SX4 Zxi BSIII,2008,175000,1228341.15,29173,Petrol,Dealer,Manual,First Owner
BMW 7 Series 730Ld,2012,2500000,12052504.8,48000,Diesel,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,2017,628000,1340975.74,120000,Diesel,Individual,Manual,First Owner
Hyundai Sonata CRDi M/T,2010,600000,2853058.49,100000,Diesel,Individual,Manual,First Owner
Nissan Micra Active XV Petrol,2017,399000,1000014.73,30000,Petrol,Individual,Manual,First Owner
Mahindra Xylo D4,2018,750000,1885071.55,87000,Diesel,Individual,Manual,First Owner
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,1465170.0,15000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2017,315000,800716.34,16000,Petrol,Individual,Manual,First Owner
Mahindra Xylo E4 BS III,2012,600000,2103023.5,60000,Diesel,Individual,Manual,First Owner
Maruti Wagon R LXI Minor,2010,100000,401649.88,60000,Petrol,Individual,Manual,Fourth & Above Owner
Maruti SX4 ZXI MT BSIV,2011,250000,905434.18,110000,Petrol,Individual,Manual,Third Owner
Renault KWID RXT,2017,350000,827307.24,25000,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi S,2016,780000,1861694.59,60000,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VDI,2014,434000,1542170.57,79350,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,1668731.95,80000,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio LX BSIV,2014,555000,2270776.73,90000,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIII,2007,120000,1113384.36,90000,Petrol,Individual,Manual,Second Owner
Maruti Ertiga VDI,2014,500000,1879002.41,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel,2013,165000,677519.38,60000,Diesel,Individual,Manual,Second Owner
Maruti Zen LX,2004,95000,757259.69,50000,Petrol,Individual,Manual,First Owner
Maruti Baleno Delta 1.2,2018,550000,1241082.57,20000,Petrol,Individual,Manual,First Owner
Maruti Swift Vdi BSIII,2007,100000,686805.91,110000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Nano Lx BSIV,2012,100000,387018.33,50000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,1913848.48,100000,Diesel,Individual,Manual,First Owner
Maruti Ertiga SHVS VDI,2016,800000,2217948.82,70000,Diesel,Individual,Manual,Second Owner
Hyundai Creta 1.6 CRDi SX,2016,840000,2039585.09,70000,Diesel,Individual,Manual,Second Owner
Honda Amaze S i-Vtech,2016,490000,1153836.16,50000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua 1.4 TDI,2010,125000,789189.68,81000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,400000,1893312.41,120000,Diesel,Individual,Manual,Third Owner
Chevrolet Cruze LTZ,2015,1000000,3242682.92,3600,Diesel,Dealer,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,1842639.02,14272,Petrol,Dealer,Manual,First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,840000,1762674.07,49213,Diesel,Dealer,Manual,First Owner
Hyundai i10 Sportz 1.1L,2015,229999,629958.19,40000,Petrol,Individual,Manual,First Owner
Maruti 800 Std,1998,40000,500225.77,40000,Petrol,Individual,Manual,Fourth & Above Owner
Chevrolet Spark 1.0 LS,2012,130000,635080.07,80000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,2015,200000,544438.17,70000,Petrol,Individual,Manual,First Owner
Tata Indica Vista Aqua TDI BSIII,2011,120000,673656.53,70000,Diesel,Individual,Manual,First Owner
Hyundai Santro LP zipPlus,2003,75000,550872.51,57000,Petrol,Individual,Manual,First Owner
Tata Bolt Quadrajet XE,2016,250000,786496.76,120000,Diesel,Individual,Manual,First Owner
Maruti 800 AC BSIII,2005,100000,708621.69,30000,Petrol,Individual,Manual,First Owner
Hyundai EON Era Plus,2013,280000,1072926.32,3240,Petrol,Individual,Manual,Second Owner
Hyundai i20 Magna 1.2,2015,540000,1285242.53,5000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.2 Asta,2018,700000,1667072.95,10000,Petrol,Individual,Manual,First Owner
Maruti Ciaz VDi Plus,2015,525000,1341218.98,100000,Diesel,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,2016,430000,1053548.32,80000,Diesel,Individual,Manual,First Owner
Hyundai Santro LE,2002,65000,979722.87,70000,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza VDi,2018,800000,1888087.83,35000,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XL eRLX Euro III,2007,75000,642627.56,114000,Petrol,Individual,Manual,Second Owner
Hyundai Getz 1.3 GLS,2008,210000,1506848.92,53772,Petrol,Individual,Manual,First Owner
Mahindra Quanto C8,2012,195000,829396.28,140000,Diesel,Individual,Manual,Second Owner
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,400000,1311047.39,120000,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,2012,170000,529336.05,60000,Petrol,Individual,Manual,First Owner
Renault KWID RXT,2016,225000,595174.68,25000,Petrol,Individual,Manual,First Owner
Maruti Wagon R DUO LPG,2014,210000,611233.93,90000,LPG,Individual,Manual,First Owner
Maruti Wagon R LXI,2020,240000,440385.33,120000,Petrol,Individual,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,2015,300000,766624.31,175000,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0 LS,2011,99000,440302.15,100000,Petrol,Individual,Manual,Third Owner
Honda City i VTEC SV,2014,620000,2002051.29,36000,Petrol,Individual,Manual,First Owner
Honda Amaze VX i-DTEC,2013,500000,2157539.44,30000,Diesel,Individual,Manual,First Owner
Jaguar XJ 5.0 L V8 Supercharged,2010,2550000,9865456.73,40000,Petrol,Individual,Automatic,Second Owner
Honda Brio E MT,2013,260000,1028723.46,70000,Petrol,Individual,Manual,Second Owner
Maruti Swift VVT ZXI,2017,550000,1263270.54,60000,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,2011,150000,725680.2,155500,Diesel,Individual,Manual,First Owner
Hyundai i10 Asta AT,2011,350000,1500607.6,50000,Petrol,Individual,Automatic,Second Owner
Chevrolet Beat LT,2016,320000,722235.68,40000,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,2015,400000,1258994.02,100000,Diesel,Individual,Manual,Third Owner
Maruti Alto LXi,2012,175000,588240.88,80000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat LT,2011,120000,678548.78,90000,Petrol,Individual,Manual,Second Owner
Renault Duster 110PS Diesel RxZ,2013,320000,1299513.19,90000,Diesel,Individual,Manual,Second Owner
Hyundai Santro Xing XG,2006,70000,364295.53,110000,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire ZXI Plus,2019,810000,1615648.4,15000,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2007,95000,562052.18,100000,Petrol,Individual,Manual,Second Owner
Maruti Alto K10 LXI CNG,2020,282000,462309.74,40000,CNG,Individual,Manual,First Owner
Maruti 800 Std BSII,2004,80000,718078.2,60000,Petrol,Individual,Manual,Second Owner
Tata Nano LX SE,2013,72000,255881.02,25000,Petrol,Individual,Manual,First Owner
Hyundai i20 Magna 1.2,2016,600000,1406441.49,25000,Petrol,Individual,Manual,First Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,1573350.39,23000,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,2018,380000,843979.19,22155,Petrol,Individual,Manual,First Owner
Maruti Ciaz 1.4 Delta,2018,650000,1313348.54,70000,Petrol,Individual,Manual,First Owner
Maruti Alto LX,2009,150000,962476.3,60000,Petrol,Individual,Manual,Second Owner
Hyundai i20 Asta,2009,280000,1928880.37,110000,Petrol,Individual,Manual,Second Owner
Tata Nexon 1.2 Revotron XM,2018,430000,873002.77,30000,Petrol,Individual,Manual,First Owner
Mahindra Bolero Power Plus SLX,2019,800000,1446826.82,15000,Diesel,Individual,Manual,First Owner
Maruti Zen D,2003,75000,757432.74,100000,Diesel,Individual,Manual,Second Owner
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,1830058.35,70000,Diesel,Individual,Automatic,First Owner
Maruti Eeco 7 Seater Standard BSIV,2017,390000,922654.05,24000,Petrol,Individual,Manual,First Owner
Honda City 1.5 EXI,2005,100000,685084.03,120000,Petrol,Individual,Manual,Second Owner
Mercedes-Benz New C-Class 220 CDI AT,2013,1500000,4503783.19,35000,Diesel,Individual,Automatic,First Owner
Maruti SX4 Zxi with Leather BSIII,2007,175000,886339.2,78380,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,2012,434999,2254893.15,110000,Diesel,Individual,Manual,Second Owner
Ford Figo Diesel Titanium,2010,170000,939011.31,90000,Diesel,Individual,Manual,Third Owner
Ford Figo Diesel Titanium,2011,190000,628679.48,90000,Diesel,Individual,Manual,Third Owner
Maruti Swift Dzire VDi,2009,250000,1651309.86,150000,Diesel,Individual,Manual,Third Owner
Mahindra Xylo E4,2009,229999,1136481.54,230000,Diesel,Individual,Manual,Third Owner
Maruti Esteem Vxi - BSIII,2006,140000,1031457.28,70000,Petrol,Individual,Manual,Third Owner
Maruti Swift VDI BSIV,2017,600000,1349501.41,80362,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Sportz,2012,280000,1202005.79,110000,Petrol,Individual,Manual,Third Owner
Chevrolet Beat Diesel LT,2012,150000,474840.07,60000,Diesel,Individual,Manual,First Owner
Chevrolet Cruze LTZ AT,2015,650000,1582636.15,50000,Diesel,Individual,Automatic,First Owner
Nissan Micra XL,2014,210000,549105.85,40000,Petrol,Individual,Manual,Second Owner
BMW 5 Series 520d Luxury Line,2017,2900000,6679290.51,40000,Diesel,Individual,Automatic,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,1375325.55,20000,Diesel,Dealer,Manual,First Owner
Hyundai EON Era Plus Option,2014,265000,921279.66,55000,Petrol,Dealer,Manual,First Owner
Fiat Linea T Jet Emotion,2018,890000,2160418.89,1136,Petrol,Dealer,Manual,First Owner
Renault Scala RxL,2013,365000,1025641.63,55000,Petrol,Dealer,Manual,First Owner
Ford Figo Petrol Titanium,2014,350000,1147619.92,43000,Petrol,Dealer,Manual,First Owner
Maruti Ciaz ZDi SHVS,2016,685000,1841802.86,60000,Diesel,Individual,Manual,First Owner
Skoda Rapid 1.5 TDI Ambition BSIV,2018,940000,2074744.68,2650,Diesel,Dealer,Manual,First Owner
Mahindra XUV500 W6 2WD,2017,1000000,2470914.27,40000,Diesel,Individual,Manual,First Owner
Mahindra XUV300 W8 Option,2019,1150000,2286302.4,15000,Petrol,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,2016,450000,1242473.48,115962,Diesel,Individual,Manual,Second Owner
Nissan Terrano XE D,2015,590000,1349212.1,65000,Diesel,Dealer,Manual,First Owner
Maruti S-Cross Facelift,2017,800000,1746077.23,40000,Diesel,Individual,Manual,First Owner
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,1424404.12,58000,Diesel,Dealer,Manual,First Owner
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,2000000,5336837.81,15000,Diesel,Individual,Automatic,First Owner
Hyundai EON Era Plus,2012,235000,775549.84,54000,Petrol,Dealer,Manual,First Owner
Volkswagen Ameo 1.5 TDI Highline,2017,640000,1237051.34,56000,Diesel,Dealer,Manual,First Owner
Maruti Alto LX,2006,52000,395035.42,120000,Petrol,Individual,Manual,Third Owner
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,402128.31,90000,LPG,Individual,Manual,Second Owner
Maruti Alto LX,2012,140000,713429.4,70000,Petrol,Individual,Manual,Second Owner
Hyundai Verna i (Petrol),2008,120000,703571.6,90000,Petrol,Individual,Manual,Second Owner
Mahindra Renault Logan 1.5 DLS,2008,89999,420208.86,213000,Diesel,Individual,Manual,First Owner
Chevrolet Optra Magnum 2.0 LS BSIII,2012,180000,539456.0,120000,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,2017,1500000,3185941.08,20000,Diesel,Individual,Manual,First Owner
Hyundai i20 Active 1.2 SX,2017,700000,1485347.71,10000,Petrol,Individual,Manual,First Owner
Maruti SX4 Celebration Diesel,2012,285000,915319.82,80000,Diesel,Individual,Manual,Second Owner
Hyundai Grand i10 Magna,2015,390000,906923.86,90000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi BSIII,2008,125000,992434.53,80000,Petrol,Individual,Manual,First Owner
Maruti SX4 Zxi with Leather BSIII,2008,225000,1730480.0,60000,Petrol,Individual,Manual,Second Owner
Hyundai i10 Era,2011,175000,616549.08,139000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 V Diesel 7-seater,2011,1075000,4162572.02,160000,Diesel,Individual,Manual,Second Owner
Honda Mobilio V i DTEC,2014,300000,842855.42,150000,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,700000,2469106.91,163000,Diesel,Individual,Manual,Fourth & Above Owner
Tata Indica V2 2001-2011 DLS BSIII,2009,90000,614555.27,120000,Diesel,Dealer,Manual,First Owner
Tata Indica Vista TDI LS,2011,120000,699915.57,120000,Diesel,Individual,Manual,Second Owner
Chevrolet Beat Diesel LS,2012,220000,1052601.81,100000,Diesel,Individual,Manual,Second Owner
Tata Zest Quadrajet 1.3 75PS XE,2015,300000,765552.37,140000,Diesel,Dealer,Manual,First Owner
Skoda Fabia 1.2L Diesel Ambiente,2010,180000,797034.86,87000,Diesel,Dealer,Manual,Second Owner
Maruti 800 Std,2013,170000,595443.87,70000,Petrol,Individual,Manual,First Owner
Ford Figo Petrol Titanium,2015,300000,905910.92,50000,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,1050000,3051828.62,70000,Diesel,Individual,Manual,First Owner
Honda Mobilio V i DTEC,2014,300000,1132635.52,150000,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 CRDi Asta,2018,465000,982358.53,25000,Diesel,Individual,Manual,First Owner
Chevrolet Beat Diesel LT,2011,130000,561018.83,80000,Diesel,Individual,Manual,Second Owner
Datsun GO Plus T Option Petrol,2018,434999,867947.57,10000,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,2018,500000,886734.73,32000,Petrol,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,2018,200000,504424.45,10000,Petrol,Individual,Manual,First Owner
Maruti Baleno Alpha 1.2,2017,625000,1314924.71,52000,Petrol,Dealer,Manual,First Owner
Ford Fiesta Classic 1.4 SXI Duratorq,2006,110000,615491.56,120000,Diesel,Individual,Manual,Third Owner
Hyundai Elite i20 Asta Option BSIV,2019,800000,1637371.23,11240,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 CRDi Magna,2017,490000,1201852.09,66000,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI,2017,880000,2401544.55,64000,Diesel,Dealer,Manual,First Owner
Hyundai Santro Xing GL Plus,2013,290000,1171497.34,49000,Petrol,Individual,Manual,First Owner
Tata Sumo GX TC 7 Str BSIII,2006,115999,927288.78,100000,Diesel,Individual,Manual,Second Owner
Renault KWID RXT,2018,360000,704319.57,26500,Petrol,Individual,Manual,First Owner
Maruti 800 AC,2002,65000,1172196.48,100000,Petrol,Individual,Manual,Second Owner
Maruti Vitara Brezza LDi Option,2017,685000,1715375.9,72000,Diesel,Dealer,Manual,First Owner
Honda Jazz S,2009,300000,1175356.8,50000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Sportz,2017,680000,1498895.99,44000,Diesel,Dealer,Manual,First Owner
Maruti Ertiga SHVS ZDI Plus,2017,1000000,2129847.59,60000,Diesel,Individual,Manual,Second Owner
Tata Sumo SE Plus BSIII,2002,100000,1284646.88,120000,Diesel,Individual,Manual,First Owner
Mahindra Xylo E4,2010,160000,692103.87,130000,Diesel,Individual,Manual,First Owner
Maruti Swift ZDi BSIV,2017,450000,914525.68,70000,Diesel,Individual,Manual,First Owner
Maruti Ertiga VXI,2014,600000,1759312.61,20000,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Magna ABS,2009,180000,1064316.72,60000,Diesel,Individual,Manual,Second Owner
Maruti Alto LXi,2007,100000,616391.16,195000,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,2010,120000,477617.33,90000,Petrol,Individual,Manual,Second Owner
Hyundai Getz GL,2006,130000,1203173.9,80000,Petrol,Individual,Manual,Third Owner
Maruti Wagon R LX BS IV,2011,160000,570892.2,155000,Petrol,Individual,Manual,First Owner
